*test row do not delete*,Department of Unit Tests,TRAIN,,,5_current,http://art.washington.edu/calendar/
*test row do not delete*,Department of Unit Tests,TRAIN,,,past,
*test row do not delete*,Department of Unit Tests,TRAIN,,,far_future,
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,2_current,
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,5_current,http://art.washington.edu/calendar/
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,future_1,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,future_1,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,far_future,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,past,
*test row do not delete*,Department of Other Unit Tests,,UPCOM2,,future_2,
,CHEMISTRY                               ,,,CHEMISTRY (NANO & MOL E),uwchem,Yes,http://depts.washington.edu/chem/newsevents/eventsall.html
,CIVIL AND ENVIRONMENTAL ENGINEERING     ,CIVIL ENGINEERING       ,,,sea_cee,Yes,http://www.ce.washington.edu/news/calendar.php
,CIVIL AND ENVIRONMENTAL ENGINEERING     ,,,CIVIL ENGINEERING       ,sea_cee,Yes,http://www.ce.washington.edu/news/calendar.php
,CIVIL AND ENVIRONMENTAL ENGINEERING     ,,,CIVIL ENGINEERING       ,sea_cee,Yes,http://www.ce.washington.edu/news/calendar.php
,CIVIL AND ENVIRONMENTAL ENGINEERING     ,,,CIVIL ENGINEERING       ,sea_cee,Yes,http://www.ce.washington.edu/news/calendar.php
,CIVIL AND ENVIRONMENTAL ENGINEERING     ,,,ENGINEERING (CIVIL)     ,sea_cee,Yes,http://www.ce.washington.edu/news/calendar.php
,CIVIL AND ENVIRONMENTAL ENGINEERING     ,,,CIVIL ENGINEERING       ,sea_cee,Yes,http://www.ce.washington.edu/news/calendar.php
,CIVIL AND ENVIRONMENTAL ENGINEERING     ,,,SUPPLY CHAIN TRANS & LOG,sea_cee,Yes,http://www.ce.washington.edu/news/calendar.php
,CIVIL AND ENVIRONMENTAL ENGINEERING     ,,,SUSTAINABLE TRANSPORT   ,sea_cee,Yes,http://www.ce.washington.edu/news/calendar.php
,CLASSICS                                ,CLASSICAL STUDIES       ,,,sea_clas,Yes,
,CLASSICS                                ,CLASSICS                ,,,sea_clas,Yes,
,CLASSICS                                ,GREEK                   ,,,sea_clas,Yes,
,CLASSICS                                ,LATIN                   ,,,sea_clas,Yes,
,CLASSICS                                ,,CLASSICS & ANCIENT HIST ,,sea_clas,Yes,
,CLASSICS                                ,,CLASSICAL STUDIES       ,,sea_clas,Yes,
,CLASSICS                                ,,GREEK                   ,,sea_clas,Yes,
,CLASSICS                                ,,LATIN                   ,,sea_clas,Yes,
,CLASSICS                                ,,,CLASSICS                ,sea_clas,Yes,
,CLASSICS                                ,,,CLASSICS: ANCIENT PHIL  ,sea_clas,Yes,
,CLASSICS                                ,,,CLASSICS(THRY & CRITISM),sea_clas,Yes,
,CLASSICS                                ,,,CLASSICS (TEXT ST)      ,sea_clas,Yes,
,COLLEGE OF EDUCATION                    ,EARLY CHILD & FAMILY STD,,,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,EARLY CHLD & FAM ST (OL),,,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUCATION               ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (CURRICULUM INSTR) ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (CURRICULUM INSTR) ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (CURRICULUM INSTR) ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (CURRICULUM INSTR) ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (CURRICULUM INSTR) ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (CURRICULUM INSTR) ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (CURRICULUM INSTR) ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (CURRICULUM INSTR) ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (INSTRUCT LDRSHP)  ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (EDUC PSYCHOLOGY)  ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (SCHOOL PSYCHOLOGY),sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (HUMAN DEVEL & COG),sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,"EDUC (MEAS, STAT, & RD) ",sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (LEARNING SCIENCES),sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (LRN SCI & HUM DEV),sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (EDUC LDRSHP & POL),sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (EDUC LDRSHP & POL),sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (EDUC LDRSHP & POL),sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (EDUC LDRSHP & POL),sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUCATION (SPECIAL ED)  ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUCATION (SPECIAL ED)  ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUCATION (SPECIAL ED)  ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUCATION (SPECIAL ED)  ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUCATION (SPECIAL ED)  ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUCATION (SPECIAL ED)  ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUCATION (SPECIAL ED)  ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUCATION (SP ED-HI IN) ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (TEACHER PREP)     ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (TEACHER PREP)     ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (TEACHER PREP)     ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (TEACHER PREP)     ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (TEACHER PREP)     ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (TEACHER PREP)     ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (TEACHER PREP)     ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (STR)              ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (CURRICULUM INSTR) ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (CURRICULUM INSTR) ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (INSTRUCT LDRSHP)  ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (SCHOOL PSYCHOLOGY),sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (EDUC LDRSHP & POL),sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (INTERC ATHL LEAD) ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (INSTRUCT LDRSHP)  ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (EDUC LDRSHP & POL),sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (EDUC LDRSHP & POL),sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (EDUC LDRSHP & POL),sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUC (INTERC ATHL LEAD) ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUCATION (SPECIAL ED)  ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUCATION (SPECIAL ED)  ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,EDUCATION (U-ACT)       ,sea_education,Yes,
,COLLEGE OF EDUCATION                    ,,,MIXED METHODS EDUC SCI  ,sea_education,Yes,
,COLLEGE OF THE ENVIRONMENT              ,PRE ENVIRONMENT         ,,,coenveventscalendar,Yes,http://coenv.washington.edu/alumni-and-community/calendar-events/
,COLLEGE OF THE ENVIRONMENT              ,,QUANTITATIVE SCIENCE    ,,coenveventscalendar,Yes,http://coenv.washington.edu/alumni-and-community/calendar-events/
,COMMUNICATION                           ,COMMUNICATION           ,,,sea_comm,Yes,
,COMMUNICATION                           ,COM (JOURNALISM)        ,,,sea_comm,Yes,
,COMMUNICATION                           ,"COMMUNICATION, EVENING  ",,,sea_comm,Yes,
,COMMUNICATION                           ,,,COMMUNICATION           ,sea_comm,Yes,
,COMMUNICATION                           ,,,COM: NATIVE VOICES      ,sea_comm,Yes,
,COMMUNICATION                           ,,,COMMUNICATION (DIG MED) ,sea_comm,Yes,
,COMMUNICATION                           ,,,COMMUNICATION (C&N)     ,sea_comm,Yes,
xeamer,COMPARATIVE HISTORY OF IDEAS            ,COMP HIST OF IDEAS      ,,,sea_chid,Yes,
,COMPARATIVE HISTORY OF IDEAS            ,,COMP HIST OF IDEAS      ,,sea_chid,Yes,
felalum,COMPARATIVE LITERATURE                  ,COMPARATIVE LITERATURE  ,,,sea_comp_lit,Yes,
,COMPARATIVE LITERATURE                  ,COMP LIT (CINEMA ST)    ,,,sea_comp_lit,Yes,
,COMPARATIVE LITERATURE                  ,,COMPARATIVE LITERATURE  ,,sea_comp_lit,Yes,
,COMPARATIVE LITERATURE                  ,,,COMPARATIVE LITERATURE  ,sea_comp_lit,Yes,
,COMPARATIVE LITERATURE                  ,,,COMP LIT (THEORY & CRIT),sea_comp_lit,Yes,
,COMPARATIVE LITERATURE                  ,,,COMP LIT (TEXT ST)      ,sea_comp_lit,Yes,
,COMPARATIVE LITERATURE                  ,,,CINEMA & MEDIA STUDIES  ,sea_comp_lit,Yes,
,COMPARATIVE MEDICINE                    ,,,COMPARATIVE MEDICINE    ,sea_compmed,No; fixed 4/2,
,COMPUTATIONAL MOLECULAR BIOLOGY         ,,,COMPUT MOLECULAR BIOLOGY,,,
neabburi,COMPUTER SCIENCE                        ,COMPUTER SCIENCE        ,,,sea_cse,Yes,
jpaberc,COMPUTER SCIENCE & ENGINEERING          ,COMPUTER ENGINEERING    ,,,sea_cse,Yes,
,COMPUTER SCIENCE & ENGINEERING          ,COMP SCI & ENGR (BS/MS) ,,,sea_cse,Yes,
,COMPUTER SCIENCE & ENGINEERING          ,,,COMPUTER SCI & ENGR     ,sea_cse,Yes,
,COMPUTER SCIENCE & ENGINEERING          ,,,"COMP SCI & ENGR,EVENING ",sea_cse,Yes,
,COMPUTER SCIENCE & ENGINEERING          ,,,COMP SCI & ENGR (BS/MS) ,sea_cse,Yes,
,COMPUTING & SOFTWARE SYSTEMS            ,APPL COMPUTING (BOTHELL),,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,COMPUTING & SOFTWARE SYS,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CSS APPLICATION PROGRMNG,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CSS INFORMATION ENGINRNG,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CSS SYSTEMS ANALYSIS    ,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CSS APP PRG & INFO ENGR ,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CSS APP PRG & SYSTM ANAL,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CSS INFO ENGR & SYS ANAL,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CSS APP PRG/IE/SYS ANAL ,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,COMP SCI & SOFTWARE ENGR,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CSSE APPLICATION PROG   ,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CSSE INFORMATION ENGR   ,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CSSE SYSTEMS ANALYSIS   ,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CSSE APP PRG & INFO ENGR,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CSSE APP PRG & SYSTM ANL,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CSSE INFO ENGR & SYS ANL,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CSSE APP PRG/IE/SYS ANAL,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CSSE: INFO ASSUR & CYBER,,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,CMP & SOFTWARE SYS (VIS),,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,,COMPUTING & SOFTWARE SYS,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,,CSS INFORMATION TECH    ,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,,COMP SCI & SOFTWARE ENGR,,,,
,COMPUTING & SOFTWARE SYSTEMS            ,,,CYBER SECURITY ENGINEER ,,,
,COMPUTING & SOFTWARE SYSTEMS            ,,,COMP SCI & SOFTWARE ENGR,,,
,COMPUTING & SOFTWARE SYSTEMS            ,,,SOFTWARE DESIGN AND DEV ,,,
,CONSTRUCTION MANAGEMENT                 ,CONSTRUCTION MANAGEMENT ,,,,,
,CONSTRUCTION MANAGEMENT                 ,CONSTR MGMT (W/ARCH DES),,,,,
,CONSTRUCTION MANAGEMENT                 ,,,CONSTRUCTION MANAGEMENT ,,,
,CONSTRUCTION MANAGEMENT                 ,,,CONSTRUCTION MGMT EVE DG,,,
,CONSTRUCTION MANAGEMENT                 ,,,CONSTRUCTION MANAGEMENT ,,,
,CTR FOR STUDIES IN DEMOGRAPHY & ECOLOGY ,,,DEMOGRAPHIC METHODS     ,,,
,DANCE                                   ,DANCE                   ,,,sea_dance,No,
,DANCE                                   ,DANCE: DANCE STUDIES    ,,,sea_dance,No,
,DANCE                                   ,DANCE: CREATIVE STUDIES ,,,sea_dance,No,
,DANCE                                   ,,DANCE                   ,,sea_dance,No,
,DANCE                                   ,,,DANCE                   ,sea_dance,No,
,DENTISTRY                               ,DENTISTRY VISITING      ,,,sea_dental,Yes,http://dental.washington.edu/calendar/
arman2,DENTISTRY                               ,,,DENTISTRY               ,sea_dental,Yes,http://dental.washington.edu/calendar/
,DENTISTRY                               ,,,DENTISTRY W/CERTIFICATE ,sea_dental,Yes,http://dental.washington.edu/calendar/
,DENTISTRY                               ,,,DENTISTRY CONCURRENT    ,sea_dental,Yes,http://dental.washington.edu/calendar/
,DENTISTRY                               ,,,DENTCC (CERTIFICATE)    ,sea_dental,Yes,http://dental.washington.edu/calendar/
,DENTISTRY/ORAL BIOLOGY                  ,,,DENTISTRY/ORAL BIOLOGY  ,sea_dental,Yes,http://dental.washington.edu/calendar/
,DENTISTRY/PUBLIC HEALTH                 ,,,DENT/EPIDEM CONCURRENT  ,sea_dental,Yes,http://dental.washington.edu/calendar/
,DENTISTRY/PUBLIC HEALTH                 ,,,DENT/HSERV CONCURRENT   ,sea_dental,Yes,http://dental.washington.edu/calendar/
,Design Use Build                        ,,,HUMAN-COMPUTER INT & DES,,,
,"Division of Culture, Art and Comm       ",HISPANIC STUDIES        ,,,,,
,"Division of Culture, Art and Comm       ",AMERICAN STUDIES - TAC  ,,,,,
,"Division of Culture, Art and Comm       ","ARTS, MEDIA & CULT - TAC",,,,,
,"Division of Culture, Art and Comm       ",COMMUNICATIONS - TACOMA ,,,,,
,"Division of Culture, Art and Comm       ",WRITING STUDIES (TACOMA),,,,,
,"Division of Culture, Art and Comm       ",,HISPANIC STUDIES        ,,,,
,"Division of Politics, Phil and Pub Aff  ",LAW AND POLICY          ,,,,,
,"Division of Politics, Phil and Pub Aff  ","POL, PHIL & ECON (TAC)  ",,,,,
,"Division of Politics, Phil and Pub Aff  ",,ASIAN STUDIES           ,,,,
,"Division of Politics, Phil and Pub Aff  ",,ECONOMICS               ,,,,
,"Division of Politics, Phil and Pub Aff  ",,HUMAN RIGHTS            ,,,,
,"Division of Politics, Phil and Pub Aff  ",,LAW AND POLICY          ,,,,
,"Division of Politics, Phil and Pub Aff  ",,POLITICS                ,,,,
,"Division of Politics, Phil and Pub Aff  ",,RELIGIOUS ST (TACOMA)   ,,,,
,Division of Sciences and Mathematics    ,ENVIRON SCIENCE (TACOMA),,,,,
,Division of Sciences and Mathematics    ,ENVIRONMENTAL ST - TAC  ,,,,,
,Division of Sciences and Mathematics    ,PRE ENV SCIENCE (TACOMA),,,,,
,Division of Sciences and Mathematics    ,,SUSTAINABILITY (TACOMA) ,,,,
,Division of Sciences and Mathematics    ,,ECOL RESTOR (TACOMA)    ,,,,
,Division of Sciences and Mathematics    ,,ENVIRONMENTAL ST - TAC  ,,,,
,Division of Sciences and Mathematics    ,,MATHEMATICS (TACOMA)    ,,,,
,Division of Social and Historical Stdy  ,HISTORY (TACOMA)        ,,,,,
,Division of Social and Historical Stdy  ,ETHN GEND LABOR ST - TAC,,,,,
,Division of Social and Historical Stdy  ,IAS (GLOBAL STUDIES)    ,,,,,
,Division of Social and Historical Stdy  ,,MUSEUM STUDIES          ,,,,
,Division of Social and Historical Stdy  ,,NONPROFIT MGMT          ,,,,
,Division of Social and Historical Stdy  ,,PUBLIC HISTORY          ,,,,
,"Division of Social, Behav and Human Sci ",INTERDISCP ARTS & SCI   ,,,,,
,"Division of Social, Behav and Human Sci ",TIAS EDUCATION          ,,,,,
,"Division of Social, Behav and Human Sci ",IAS (INDIVIDUALLY DESGN),,,,,
,"Division of Social, Behav and Human Sci ",PRE IAS (TACOMA)        ,,,,,
,"Division of Social, Behav and Human Sci ",PSYCHOLOGY (TACOMA)     ,,,,,
,"Division of Social, Behav and Human Sci ",,TIAS EDUCATION          ,,,,
bainter,DRAMA                                   ,DRAMA                   ,,,sea_uwdrama,Yes,
,DRAMA                                   ,"DRAMA: HIST, THEORY, CRT",,,sea_uwdrama,Yes,
,DRAMA                                   ,DRAMA: PERFORMANCE      ,,,sea_uwdrama,Yes,
,DRAMA                                   ,DRAMA: DESIGN           ,,,sea_uwdrama,Yes,
,DRAMA                                   ,,,DRAMA                   ,sea_uwdrama,Yes,
,DRAMA                                   ,,,DRAMA (ACTING)          ,sea_uwdrama,Yes,
,DRAMA                                   ,,,DRAMA (DIRECTING)       ,sea_uwdrama,Yes,
,DRAMA                                   ,,,DRAMA (DESIGN - COSTUME),sea_uwdrama,Yes,
,DRAMA                                   ,,,DRAMA (DESIGN-LIGHTING) ,sea_uwdrama,Yes,
,DRAMA                                   ,,,DRAMA (DESIGN-SCENERY)  ,sea_uwdrama,Yes,
,DRAMA                                   ,,,DRAMA (DESIGN-OTHER)    ,sea_uwdrama,Yes,
,DRAMA                                   ,,,DRAMA                   ,sea_uwdrama,Yes,
,DRAMA                                   ,,,DRAMA (THEORY & CRITISM),sea_uwdrama,Yes,
,DRAMA                                   ,,,DRAMA (TEXT ST)         ,sea_uwdrama,Yes,
,EARTH AND SPACE SCIENCES                ,EARTH & SPACE SCIENCES  ,,,,,
,EARTH AND SPACE SCIENCES                ,EARTH & SPACE SCI (BIOL),,,,,
,EARTH AND SPACE SCIENCES                ,EARTH & SPACE SCI (PHYS),,,,,
,EARTH AND SPACE SCIENCES                ,EARTH & SPACE SCI (ENVR),,,,,
,EARTH AND SPACE SCIENCES                ,ESS: GEOLOGY            ,,,,,
,EARTH AND SPACE SCIENCES                ,,EARTH & SPACE SCIENCES  ,,,,
,EARTH AND SPACE SCIENCES                ,,,EARTH & SPACE SCIENCES  ,,,
,EARTH AND SPACE SCIENCES                ,,,ESS: APPLIED GEOSCIENCES,,,
,EARTH AND SPACE SCIENCES                ,,,EARTH & SPACE SCI & ASTB,,,
,EARTH AND SPACE SCIENCES                ,,,GEOLOGICAL SCIENCES     ,,,
,EARTH AND SPACE SCIENCES                ,,,GEOPHYSICS              ,,,
,ECONOMICS                               ,ECONOMICS               ,,,sea_econ,Yes,
,ECONOMICS                               ,,,ECONOMICS               ,sea_econ,Yes,
,ECONOMICS                               ,,,ECONOMICS (GTTL)        ,sea_econ,Yes,
,EDUCATION (BOTHELL CAMPUS)              ,EDUCATION (BOTHELL)     ,,,bot_education,Yes,
,EDUCATION (BOTHELL CAMPUS)              ,PRE EDUCATION (BOTHELL) ,,,bot_education,Yes,
,EDUCATION (BOTHELL CAMPUS)              ,,EDUCATION (BOTHELL)     ,,bot_education,Yes,
,EDUCATION (BOTHELL CAMPUS)              ,,EDUC & SOC (BOTHELL)    ,,bot_education,Yes,
,EDUCATION (BOTHELL CAMPUS)              ,,TEACH & LEARN (BOTHELL) ,,bot_education,Yes,
,EDUCATION (BOTHELL CAMPUS)              ,,,EDUCATION (BOTHELL)     ,bot_education,Yes,
,EDUCATION (BOTHELL CAMPUS)              ,,,EDUCATION (BOTHELL)     ,bot_education,Yes,
,EDUCATION (BOTHELL CAMPUS)              ,,,EDUC S/ML END (BOTHELL) ,bot_education,Yes,
,EDUCATION (BOTHELL CAMPUS)              ,,,EDUC LEAD (BOTHELL)     ,bot_education,Yes,
,EDUCATION (TACOMA CAMPUS)               ,EDUCATION CERTIFICATE   ,,,tac_education-program,Yes,
,EDUCATION (TACOMA CAMPUS)               ,,,EDUCATION (TACOMA)      ,tac_education-program,Yes,
,EDUCATION (TACOMA CAMPUS)               ,,,EDUC: EDUC LDR (TACOMA) ,tac_education-program,Yes,
,EDUCATION (TACOMA CAMPUS)               ,,,EDUC (EDUC ADMIN)       ,tac_education-program,Yes,
,EDUCATION (TACOMA CAMPUS)               ,,,EDUC (ELEM EDUC)        ,tac_education-program,Yes,
,EDUCATION (TACOMA CAMPUS)               ,,,EDUC (GEN FOR PRAC EDUC),tac_education-program,Yes,
,EDUCATION (TACOMA CAMPUS)               ,,,EDUC (SECONDARY EDUC)   ,tac_education-program,Yes,
,EDUCATION (TACOMA CAMPUS)               ,,,EDUC ADMIN CERT (TACOMA),tac_education-program,Yes,
,EDUCATION (TACOMA CAMPUS)               ,,,ELEM EDUC CERT (TACOMA) ,tac_education-program,Yes,
,EDUCATION (TACOMA CAMPUS)               ,,,SEC EDUC CERT (TACOMA)  ,tac_education-program,Yes,
,"EDUCATION, LEARNING, AND SOCIETY        ",,"EDUC, LEARNING, & SOC   ",,sea_education,Yes,
alcockj,ELECTRICAL ENGINEERING                  ,,,,sea_ee,Yes,
,ELECTRICAL ENGINEERING                  ,ELEC ENGR: NANO & MOLEC ,,,sea_ee,Yes,
,ELECTRICAL ENGINEERING                  ,,,ELECTRICAL ENGR         ,sea_ee,Yes,
,ELECTRICAL ENGINEERING                  ,,,ELECT ENGR (NANO & MOLE),sea_ee,Yes,
,ELECTRICAL ENGINEERING                  ,,,ELECTRICAL ENGR         ,sea_ee,Yes,
,ENDODONTICS                             ,,,ENDODONTICS             ,,,
,ENGINEERING                             ,ENGR VISITING           ,,,,,
,ENGINEERING                             ,EXTENDED PRE ENGINEERING,,,,,
,ENGINEERING                             ,INTERDISC ENGINEERING   ,,,,,
,ENGINEERING                             ,PRE ENGINEERING         ,,,sea_engr,Yes,
,ENGINEERING                             ,,,ENGINEERING (INTER ENGR),,,
,ENGINEERING                             ,,,ENGINEERING (INTR ENGR) ,,,
,ENGINEERING                             ,,,ENGR (MANUF)(EDGE)      ,,,
,ENGINEERING                             ,,,ENGR VISITING           ,,,
,ENGINEERING                             ,,,INTERDISC ENGINEERING   ,,,
,Engineering and Mathematics (Bothell)   ,ELEC ENGR (BOTHELL)     ,,,,,
,Engineering and Mathematics (Bothell)   ,ELEC ENGR (BOTHELL)     ,,,,,
,Engineering and Mathematics (Bothell)   ,MATHEMATICS (BOTHELL)   ,,,,,
,Engineering and Mathematics (Bothell)   ,MECH ENGR (BOTHELL)     ,,,,,
,Engineering and Mathematics (Bothell)   ,COMPUTER ENGR (BOTHELL) ,,,,,
,Engineering and Mathematics (Bothell)   ,,,ELEC ENGR (BOTHELL)     ,,,
,ENGLISH                                 ,ENGLISH                 ,,,sea_engl,No,
,ENGLISH                                 ,ENGLISH(CREATIVE WRITNG),,,sea_engl,No,
,ENGLISH                                 ,"ENGLISH,EVENING         ",,,sea_engl,No,
,ENGLISH                                 ,,,ENGLISH                 ,sea_engl,No,
,ENGLISH                                 ,,,ENGLISH(ENGL AS 2ND LAN),sea_engl,No,
,ENGLISH                                 ,,,ENGLISH(CREATIVE WRITNG),sea_engl,No,
,ENGLISH                                 ,,,ENGLISH(THEORY & CRITSM),sea_engl,No,
,ENGLISH                                 ,,,ENGLISH(TEXTUAL ST)     ,sea_engl,No,
,ENTREPRENEURSHIP IN TECHNOLOGY          ,,,ENTREPR IN TECHNOLOGY   ,sea_buerk,Yes,
Can't find an undergrad,ENVIRONMENTAL & OCCUPATIONAL HEALTH SCI ,ENVIRONMENTAL HEALTH    ,,,sea_deohs,Yes,
,ENVIRONMENTAL & OCCUPATIONAL HEALTH SCI ,,ENVIRONMENTAL HEALTH    ,,sea_deohs,Yes,
,ENVIRONMENTAL & OCCUPATIONAL HEALTH SCI ,,,ENVIRONMENTAL HEALTH    ,sea_deohs,Yes,
,ENVIRONMENTAL & OCCUPATIONAL HEALTH SCI ,,,ENV HLTH INDUS HYGIENE  ,sea_deohs,Yes,
,ENVIRONMENTAL & OCCUPATIONAL HEALTH SCI ,,,ENV HLTH ENVIR TOXIC    ,sea_deohs,Yes,
,ENVIRONMENTAL & OCCUPATIONAL HEALTH SCI ,,,ENV H - ENV & OCC HYG   ,sea_deohs,Yes,
,ENVIRONMENTAL & OCCUPATIONAL HEALTH SCI ,,,ENV HLTH: OCC&ENV EXP SC,sea_deohs,Yes,
,ENVIRONMENTAL & OCCUPATIONAL HEALTH SCI ,,,OCCUP & ENVIR MEDICINE  ,sea_deohs,Yes,
,ENVIRONMENTAL & OCCUPATIONAL HEALTH SCI ,,,ENVIR & OCCUP HEALTH    ,sea_deohs,Yes,
,EPIDEMIOLOGY                            ,,,EPIDEMIOLOGY            ,sea_epidem,Yes,
,EPIDEMIOLOGY                            ,,,EPIDEMIOLOGY-INTL HEALTH,sea_epidem,Yes,
,EPIDEMIOLOGY                            ,,,EPIDEM-MAT & CHILD HLTH ,sea_epidem,Yes,
,EPIDEMIOLOGY                            ,,,EPIDEMIOLOGY            ,sea_epidem,Yes,
,EPIDEMIOLOGY                            ,,,EPIDEMIOLOGY            ,sea_epidem,Yes,
,EPIDEMIOLOGY                            ,,,EPIDEMIOLOGY (CLIN RES) ,sea_epidem,Yes,
,EPIDEMIOLOGY                            ,,,GENETIC EPIDEMIOLOGY    ,sea_epidem,Yes,
,EPIDEMIOLOGY                            ,,,PUB HEALTH NUTRITION    ,sea_epidem,Yes,
,EPIDEMIOLOGY                            ,,,PUB HLTH NUTR: PRACT EXP,sea_epidem,Yes,
,EPIDEMIOLOGY                            ,,,PUBLIC HEALTH GENETICS  ,sea_epidem,Yes,
,EVENING DEGREE PROGRAM                  ,"HUMANITIES,EVENING      ",,,,,
,EVENING DEGREE PROGRAM                  ,"SOCIAL SCIENCES,EVENING ",,,,,
,EXCHANGE (ARTS & SCIENCES)              ,EXCHANGE ARTS & SCIENCES,,,,,
,EXCHANGE (ARTS & SCIENCES)              ,,,EXCHANGE ARTS & SCIENCES,,,
,EXCHANGE (BUSINESS ADMINISTRATION)      ,EXCHANGE BUS ADMIN      ,,,,,
,EXCHANGE (BUSINESS ADMINISTRATION)      ,,,EXCHANGE BUS ADMIN      ,,,
,EXCHANGE (COLLEGE OF THE ENVIRONMENT)   ,EXCHANGE ENVIRONMENT    ,,,,,
,EXCHANGE (COLLEGE OF THE ENVIRONMENT)   ,,,EXCHANGE ENVIRONMENT    ,,,
