*test row do not delete*,Department of Unit Tests,TRAIN,,,5_current,http://art.washington.edu/calendar/
*test row do not delete*,Department of Unit Tests,TRAIN,,,past,
*test row do not delete*,Department of Unit Tests,TRAIN,,,far_future,
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,2_current,
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,5_current,http://art.washington.edu/calendar/
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,future_1,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,future_1,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,far_future,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,past,
*test row do not delete*,Department of Other Unit Tests,,UPCOM2,,future_2,
,ANTHROPOLOGY                            ,ANTH: ARCHAEOLOGICAL SCI,,,sea_anthweb,Yes,http://depts.washington.edu/anthweb/news-events/upcoming-events
,ANTHROPOLOGY                            ,ANTH: HUMAN EVOL BIOLOGY,,,sea_anthweb,Yes,http://depts.washington.edu/anthweb/news-events/upcoming-events
,ANTHROPOLOGY                            ,,ANTHROPOLOGY            ,,sea_anthweb,Yes,http://depts.washington.edu/anthweb/news-events/upcoming-events
,ANTHROPOLOGY                            ,,,ANTHROPOLOGY            ,sea_anthweb,Yes,http://depts.washington.edu/anthweb/news-events/upcoming-events
,ANTHROPOLOGY/PUBLIC HEALTH CONCURRENT   ,,,ANTH/EPIDEMIOLOGY       ,sea_anthweb,Yes,http://depts.washington.edu/anthweb/news-events/upcoming-events
,ANTHROPOLOGY/PUBLIC HEALTH CONCURRENT   ,,,ANTH/GLOBAL HLTH        ,sea_anthweb,Yes,http://depts.washington.edu/anthweb/news-events/upcoming-events
,ANTHROPOLOGY/PUBLIC HEALTH CONCURRENT   ,,,ANTH/HSERV              ,sea_anthweb,Yes,http://depts.washington.edu/anthweb/news-events/upcoming-events
,APPLIED & COMPUTATIONAL MATH SCIENCES   ,ACMS (ENGR & PHYS SCI)  ,,,sea_amath sea_math sea_cse sea_stat,No (sea_math not published),
,APPLIED & COMPUTATIONAL MATH SCIENCES   ,ACMS (DISCRETE MATH AL) ,,,sea_amath sea_math sea_cse sea_stat,No (sea_math not published),
,APPLIED & COMPUTATIONAL MATH SCIENCES   ,ACMS (BIOL & LIFE SCI)  ,,,sea_amath sea_math sea_cse sea_stat,No (sea_math not published),
,APPLIED & COMPUTATIONAL MATH SCIENCES   ,ACMS (SCI COM & NUM AL) ,,,sea_amath sea_math sea_cse sea_stat,No (sea_math not published),
,APPLIED & COMPUTATIONAL MATH SCIENCES   ,ACMS (OPS RESEARCH)     ,,,sea_amath sea_math sea_cse sea_stat,No (sea_math not published),
,APPLIED & COMPUTATIONAL MATH SCIENCES   ,ACMS (STATISTICS)       ,,,sea_amath sea_math sea_cse sea_stat,No (sea_math not published),
,APPLIED & COMPUTATIONAL MATH SCIENCES   ,ACMS (MATH ECONOMICS)   ,,,sea_amath sea_math sea_cse sea_stat,No (sea_math not published),
,APPLIED & COMPUTATIONAL MATH SCIENCES   ,ACMS (SOC & BEH SCI)    ,,,sea_amath sea_math sea_cse sea_stat,No (sea_math not published),
,APPLIED MATHEMATICS                     ,,APPLIED MATHEMATICS     ,,sea_amath,Yes,
bdesilva,APPLIED MATHEMATICS                     ,,,APPLIED MATHEMATICS     ,sea_amath,Yes,
,APPLIED MATHEMATICS                     ,,,APPLIED MATHEMATICS     ,sea_amath,Yes,
,APPLIED MATHEMATICS                     ,,,COMP FIN & RISK MGMT    ,sea_amath,Yes,
,APPLIED MATHEMATICS                     ,,,COMP FIN & RISK MGMT DL ,sea_amath,Yes,
,APPLIED MATHEMATICS                     ,,,CMP FIN & RSK MGT (COMP),sea_amath,Yes,
,APPLIED MATHEMATICS                     ,,,CMP FN &RSK MGT (CMP) DL,sea_amath,Yes,
,APPLIED MATHEMATICS                     ,,,COMP FIN & RISK MGT (RM),sea_amath,Yes,
,APPLIED MATHEMATICS                     ,,,CMP FN & RSK MGT (RM) DL,sea_amath,Yes,
,ARCHITECTURE                            ,ARCHITECTURE            ,,,,,
,ARCHITECTURE                            ,ARCHITECTURAL DESIGN    ,,,,,
,ARCHITECTURE                            ,ARCHITECTURAL DS (W/CM) ,,,,,
,ARCHITECTURE                            ,VISITING ARCHITECTURE   ,,,,,
,ARCHITECTURE                            ,,ARCHITECTURE            ,,,,
,ARCHITECTURE                            ,,,ARCHITECTURE            ,,,
,ARCHITECTURE                            ,,,ARCH (HIGH-PERFM BLDG)  ,,,
,ARCHITECTURE                            ,,,ARCH HIST AND THEORY    ,,,
,ARCHITECTURE                            ,,,ARCH DESIGN COMPUTING   ,,,
,ARCHITECTURE                            ,,,ARCH: MATERIALS & FAB   ,,,
,ARCHITECTURE                            ,,,ARCH: SUST SYS & DES    ,,,
,ARCHITECTURE                            ,,,"ARCH: HIST, THRY, CRIT  ",,,
,ART                                     ,ART (INTERD VISUAL ARTS),,,sea_art-div,Yes,
,ART                                     ,ART (PAINTING & DRAWING),,,sea_art-div,Yes,
,ART                                     ,ART (THREE DIMEN FORUM) ,,,sea_art-div,Yes,
,ART                                     ,ART (PHOTOMEDIA)        ,,,sea_art-div,Yes,
,ART                                     ,DESIGN                  ,,,sea_art-design,Yes,
,ART                                     ,DESIGN (INTERACTION)    ,,,sea_art-design,Yes,
,ART                                     ,DESIGN (INDUSTRIAL)     ,,,sea_art-design,Yes,
,ART                                     ,DESIGN (VISUAL COMM)    ,,,sea_art-design,Yes,
,ART                                     ,,,ART (INTERD VISUAL ARTS),sea_art-div,Yes,
,ART                                     ,,,ART (PAINTING & DRAWING),sea_art-div,Yes,
,ART                                     ,,,ART (CERAMICS)          ,sea_art-div,Yes,
,ART                                     ,,,ART (SCULPTURE)         ,sea_art-div,Yes,
,ART                                     ,,,ART (THREE DIMEN FORUM) ,sea_art-div,Yes,
,ART                                     ,,,ART (PHOTOMEDIA)        ,sea_art-div,Yes,
,ART                                     ,,,DESIGN                  ,sea_art-design,Yes,
,ART                                     ,,,DESIGN (INTERACTION)    ,sea_art-design,Yes,
,ART                                     ,,,DESIGN (INDUSTRIAL)     ,sea_art-design,Yes,
,ART                                     ,,,DESIGN (VISUAL COMM)    ,sea_art-design,Yes,
,ART HISTORY                             ,ART HISTORY             ,,,sea_art-history,Yes,
,ART HISTORY                             ,,ART HISTORY             ,,sea_art-history,Yes,
,ART HISTORY                             ,,,ART HISTORY             ,sea_art-history,Yes,
,ART HISTORY                             ,,,ART HISTORY (TEXT ST)   ,sea_art-history,Yes,
,ARTS AND SCIENCES DEAN'S OFFICE         ,INTEG SOC SCI (OL)      ,,,,,
,ARTS AND SCIENCES DEAN'S OFFICE         ,,DISABILITY STUDIES      ,,sea_coas-disa,Yes,
,ASIAN LANGUAGES & LITERATURE            ,CHINESE                 ,,,sea_asian,Yes,
,ASIAN LANGUAGES & LITERATURE            ,JAPANESE                ,,,sea_asian,Yes,
,ASIAN LANGUAGES & LITERATURE            ,KOREAN                  ,,,sea_asian,Yes,
,ASIAN LANGUAGES & LITERATURE            ,SOUTH ASIAN LANG        ,,,sea_asian,Yes,
,ASIAN LANGUAGES & LITERATURE            ,,CHINESE                 ,,sea_asian,Yes,
,ASIAN LANGUAGES & LITERATURE            ,,HINDI                   ,,sea_asian,Yes,
,ASIAN LANGUAGES & LITERATURE            ,,JAPANESE                ,,sea_asian,Yes,
,ASIAN LANGUAGES & LITERATURE            ,,KOREAN                  ,,sea_asian,Yes,
,ASIAN LANGUAGES & LITERATURE            ,,SOUTH ASIAN LANG        ,,sea_asian,Yes,
,ASIAN LANGUAGES & LITERATURE            ,,,ASIAN LANG & LIT        ,sea_asian,Yes,
,ASIAN LANGUAGES & LITERATURE            ,,,ASIAN (TEXT ST)         ,sea_asian,Yes,
,ASIAN LANGUAGES & LITERATURE            ,,,ASIAN (THRY & CRITICISM),sea_asian,Yes,
,ASTROBIOLOGY                            ,,,ASTROBIOLOGY            ,sea_astr sea_atms,No (sea_astr not publishedt),
sba9,ASTRONOMY                               ,ASTRONOMY               ,,,sea_astr,No,
,ASTRONOMY                               ,,,ASTRONOMY               ,sea_astr,No,
,ASTRONOMY                               ,,,ASTRONOMY & ASTROBIOLOGY,sea_astr,No,
anderi2 (math minor),ATMOSPHERIC SCIENCES                    ,ATMOSPHERIC SCIENCE     ,,,sea_atms,Yes,
,ATMOSPHERIC SCIENCES                    ,ATMOS SCI: METEOROLOGY  ,,,sea_atms,Yes,
,ATMOSPHERIC SCIENCES                    ,ATMOS SCI: CLIMATE      ,,,sea_atms,Yes,
,ATMOSPHERIC SCIENCES                    ,ATMOS SCI: CHEMISTRY    ,,,sea_atms,Yes,
,ATMOSPHERIC SCIENCES                    ,,ATMOSPHERIC SCIENCE     ,,sea_atms,Yes,
,ATMOSPHERIC SCIENCES                    ,,,ATMOSPHERIC SCIENCE     ,sea_atms,Yes,
,ATMOSPHERIC SCIENCES                    ,,,ATM S & ASTROBIOLOGY    ,sea_atms,Yes,
,BIOCHEMISTRY                            ,,,BIOCHEMISTRY            ,sea_biochem,Yes,
,BIOCHEMISTRY                            ,,,BIOCHM (NANO & MOL ENG) ,sea_biochem,Yes,
saraha27,BIOENGINEERING                          ,BIOENGINEERING          ,,,sea_bioe,Yes,
,BIOENGINEERING                          ,BIOENGINEERING (BS/MS)  ,,,sea_bioe,Yes,
,BIOENGINEERING                          ,BIOEN: NANO & MOLEC ENGR,,,sea_bioe,Yes,
,BIOENGINEERING                          ,,,BIOENGINEERING          ,sea_bioe,Yes,
,BIOENGINEERING                          ,,,BIOENGNR (NANO & MOL E) ,sea_bioe,Yes,
,BIOENGINEERING                          ,,,BIOENGINEERING (BS/MS)  ,sea_bioe,Yes,
,BIOENGINEERING                          ,,,BIOENGINEERING          ,sea_bioe,Yes,
,BIOENGINEERING                          ,,,MEDICAL ENGINEERING     ,sea_bioe,Yes,
,BIOENGINEERING                          ,,,PHARM BIOENGINEERING    ,sea_bioe,Yes,
,BIOETHICS AND HUMANITIES                ,,BIOETHICS & HUMANITIES  ,,sea_bhsom,Yes,
,BIOETHICS AND HUMANITIES                ,,,BIOETHICS & HUMANITIES  ,sea_bhsom,Yes,
,"BIOLOGICAL PHYSICS, STRUCTURE AND DESIGN",,,BIOMOLECULAR STRUC & DES,,,
,"BIOLOGICAL PHYSICS, STRUCTURE AND DESIGN",,,"BIOL PHYS, STRUCT & DES ",,,
,Biological Science (Bothell)            ,BIOLOGY (BOTHELL)       ,,,,,
,Biological Science (Bothell)            ,,CONSCIOUSNESS (BOTHELL) ,,,,
,BIOLOGICAL STRUCTURE                    ,,,BIOLOGICAL STRUCTURE    ,,,
