Title,OLD Fac Code,NEW Building ID,OLD Post URL,OLD Resolved URL,OLD Query String URL,NEW URL,Notes
Physics / Astronomy Tower (PAT),PAT,975305,https://www.washington.edu/maps/2011/04/28/physics-astronomy-building-2/,https://www.washington.edu/maps/#!/PAT,https://www.washington.edu/maps/?PAT,https://map.uw.edu/?id=2099#!m/975305?share,
Plant Laboratory Annex (PL1),PL1,,https://www.washington.edu/maps/2011/04/28/plant-laboratory-annex/,https://www.washington.edu/maps/#!/PL1,https://www.washington.edu/maps/?PL1,https://map.uw.edu/,Not on the new map
Plant Operations Annex 2 (PO2),PO2,,https://www.washington.edu/maps/2011/04/28/plant-operations-annex-2/,https://www.washington.edu/maps/#!/PO2,https://www.washington.edu/maps/?PO2,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.65443400000001,-122.30335200000002?z/18.721874960049853?lvl/0?share",
Plant Operations Annex 3 (PO3),PO3,,https://www.washington.edu/maps/2011/04/28/plant-operations-annex-3/,https://www.washington.edu/maps/#!/PO3,https://www.washington.edu/maps/?PO3,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.65443400000001,-122.30335200000002?z/18.721874960049853?lvl/0?share",
Plant Operations Annex 4 (PO4),PO4,1028834,https://www.washington.edu/maps/2011/04/28/plant-operations-annex-4/,https://www.washington.edu/maps/#!/PO4,https://www.washington.edu/maps/?PO4,https://map.uw.edu/?id=2099#!m/1028834?share,
Plant Operations Annex 5 (PO5),PO5,,https://www.washington.edu/maps/2011/04/28/plant-operations-annex-5/,https://www.washington.edu/maps/#!/PO5,https://www.washington.edu/maps/?PO5,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.65443400000001,-122.30335200000002?z/18.721874960049853?lvl/0?share",
Plant Operations Annex 6 (PO6),PO6,1028835,https://www.washington.edu/maps/2011/04/28/plant-operations-annex-6/,https://www.washington.edu/maps/#!/PO6,https://www.washington.edu/maps/?PO6,https://map.uw.edu/?id=2099#!m/1028835?share,
Plant Operations Annex 7 (OR1) (Modular),OR1,,https://www.washington.edu/maps/2011/04/28/plant-operations-annex-7-modular/,https://www.washington.edu/maps/#!/OR1,https://www.washington.edu/maps/?OR1,https://map.uw.edu/,Not on the new map
Plant Operations Building (POB),POB,1028836,https://www.washington.edu/maps/2011/04/28/plant-operations-building/,https://www.washington.edu/maps/#!/POB,https://www.washington.edu/maps/?POB,https://map.uw.edu/?id=2099#!m/1028836?share,
Plant Services Building (PSB),PSB,1028838,https://www.washington.edu/maps/2011/04/28/plant-services-building/,https://www.washington.edu/maps/#!/PSB,https://www.washington.edu/maps/?PSB,https://map.uw.edu/?id=2099#!m/1028838?share,
Poplar Hall &amp; Arts Ticket Office (UTO),UTO,1005989,https://www.washington.edu/maps/2011/04/28/arts-ticket-office/,https://www.washington.edu/maps/#!/UTO,https://www.washington.edu/maps/?UTO,https://map.uw.edu/?id=2099#!m/1005989?share,
Portage Bay Building (PBB),PBB,975241,https://www.washington.edu/maps/2011/04/28/fisheries-center/,https://www.washington.edu/maps/#!/PBB,https://www.washington.edu/maps/?PBB,https://map.uw.edu/?id=2099#!m/975241?share,
Power Plant (PWR),PWR,1028839,https://www.washington.edu/maps/2011/04/28/power-plant/,https://www.washington.edu/maps/#!/PWR,https://www.washington.edu/maps/?PWR,https://map.uw.edu/?id=2099#!m/1028839?share,
Publications Services Building (PSV),PSV,1028840,https://www.washington.edu/maps/2011/04/28/publications-services-building/,https://www.washington.edu/maps/#!/PSV,https://www.washington.edu/maps/?PSV,https://map.uw.edu/?id=2099#!m/1028840?share,
Purchasing And Accounting Building (PCH),PCH,1028809,https://www.washington.edu/maps/2011/04/28/purchasing-and-accounting-building/,https://www.washington.edu/maps/#!/PCH,https://www.washington.edu/maps/?PCH,https://map.uw.edu/?id=2099#!m/1028809?share,
Quillian Tennis Stadium,quillian-tennis-stadium,,https://www.washington.edu/maps/2016/04/15/quillian-tennis-stadium/,https://www.washington.edu/maps/#!/quillian-tennis-stadium,https://www.washington.edu/maps/?quillian-tennis-stadium,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.652899379665115,-122.30151557508248?z/18.261837325343972?lvl/0?share",
Rainier Vista (LNDMK-3),LNDMK-3,973423,https://www.washington.edu/maps/2011/05/04/rainier-vista-lndmk-3/,https://www.washington.edu/maps/#!/LNDMK-3,https://www.washington.edu/maps/?LNDMK-3,https://map.uw.edu/?id=2099#!m/973423?share,
Raitt Hall (RAI),RAI,975337,https://www.washington.edu/maps/2011/04/28/raitt-hall/,https://www.washington.edu/maps/#!/RAI,https://www.washington.edu/maps/?RAI,https://map.uw.edu/?id=2099#!m/975337?share,
Recreation Field 1,recreation-field-1,,https://www.washington.edu/maps/2011/05/06/ima-sports-field-1/,https://www.washington.edu/maps/#!/recreation-field-1,https://www.washington.edu/maps/?recreation-field-1,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.65479840602683,-122.30047424609495?z/17.963650617590073?lvl/0?share",
Recreation Field 2,recreation-field-2,,https://www.washington.edu/maps/2011/05/06/ima-sports-field-2/,https://www.washington.edu/maps/#!/recreation-field-2,https://www.washington.edu/maps/?recreation-field-2,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.65787614981693,-122.29782204958644?z/17.963650617590073?lvl/0?share",
Recreation Field 3,recreation-field-3,,https://www.washington.edu/maps/2011/05/06/ima-sports-field-3/,https://www.washington.edu/maps/#!/recreation-field-3,https://www.washington.edu/maps/?recreation-field-3,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.660042910315894,-122.29574414523091?z/17.963650617590073?lvl/0?share",
Recreation Field 4,recreation-field-4,,https://www.washington.edu/maps/2018/02/07/recreation-field-4/,https://www.washington.edu/maps/#!/recreation-field-4,https://www.washington.edu/maps/?recreation-field-4,"https://map.uw.edu/?id=2099#!ct/94056,94058,94059?s/?mc/47.66074117851451,-122.29395075657402?z/18.261837325343972?lvl/0?share",
Red Square Food Trucks,red-square-food-trucks,975092,https://www.washington.edu/maps/?p=1594,https://www.washington.edu/maps/#!/red-square-food-trucks,https://www.washington.edu/maps/?red-square-food-trucks,https://map.uw.edu/?id=2099#!m/975092?share,
Roberts Annex (RAX),RAX,1028841,https://www.washington.edu/maps/2011/04/28/roberts-annex/,https://www.washington.edu/maps/#!/RAX,https://www.washington.edu/maps/?RAX,https://map.uw.edu/?id=2099#!m/1028841?share,
Roberts Hall (ROB),ROB,975265,https://www.washington.edu/maps/2011/04/28/roberts-hall/,https://www.washington.edu/maps/#!/ROB,https://www.washington.edu/maps/?ROB,https://map.uw.edu/?id=2099#!m/975265?share,
