Category,Subcategory,affiliation,Central (not campus specific),Central Title,Seattle,Seattle (link text),Bothell (destination URL),Bothell (link text),Tacoma,Tacoma Title,Open in a new tab?
"Email, and Accounts and Identity",Accounts and Identity,all,http://services.uwmedicine.org/passwordportal,UW Medicine Password Portal,,,,,,,no
"Email, and Accounts and Identity",Accounts and Identity,all,https://identity.uw.edu/,Identity.UW,,,,,,,no
Services for Faculty and Staff,"HR, Payroll, and Benefits",all,http://wd5.myworkday.com/uw/login.htmld,Workday,,,,,,,no
Services for Faculty and Staff,"HR, Payroll, and Benefits",all,http://isc.uw.edu,Integrated Service Center (ISC),,,,,,,no
Services for Faculty and Staff,"HR, Payroll, and Benefits",all,,,http://washington.edu/admin/hr/benefits,Benefits,https://www.uwb.edu/hr/benefits,Benefits,http://washington.edu/admin/hr/benefits,Benefits,no
Services for Faculty and Staff,"HR, Payroll, and Benefits",all,http://isc.uw.edu/admin-corner,ISC Administrators' Corner,,,,,,,no
Services for Faculty and Staff,"HR, Payroll, and Benefits",all,https://www.washington.edu/wholeu/,Whole U (for staff and faculty),,,,,,,no
Services for Faculty and Staff,Research,all,,,http://lib.washington.edu/types,UW Libraries: Start Your Research,http://lib.washington.edu/types,UW Libraries: Start Your Research,http://www.tacoma.uw.edu/library/start-your-research,Start Your Research,no
Services for Faculty and Staff,Research,all,https://sage.admin.uw.edu/era/uwnetid/profile,FIDS,,,,,,,no
Services for Faculty and Staff,Research,all,https://sage.admin.uw.edu/era/uwnetid/sage/,SAGE,,,,,,,no
Services for Faculty and Staff,Research,all,https://www.washington.edu/research/tools/,Reseach Administration Tools,,,,,,,no
Services for Faculty and Staff,Research,all,https://www.washington.edu/research/oris/,Office of Research Information Services (ORIS),,,,,,,no
Services for Faculty and Staff,Research,all,http://ucs.admin.uw.edu/myfd,MyFinancial.Desktop,,,,,,,no
Services for Faculty and Staff,Procurement,all,http://f2.washington.edu/fm/ps/how-to-buy/ariba,ARIBA,,,,,,,no
Services for Faculty and Staff,Procurement,all,,,http://f2.washington.edu/fm/ps,Procurement Services,https://www.uwb.edu/finance/purchasing,Purchasing,http://www.tacoma.uw.edu/node/40039,Procurement Services,no
Services for Faculty and Staff,Others,all,http://registrar.washington.edu/staffandfaculty/electronic-academic-records-system-ears,Electronic Advising Records System (EARS),,,,,,,no
Services for Faculty and Staff,Others,all,,,http://washington.edu/itconnect,IT Connect,https://www.uwb.edu/it,Information Technologies,http://www.tacoma.uw.edu/information-technology/information-technology,Information Technology,no
Services for Faculty and Staff,Others,all,https://itconnect.uw.edu/wares/,Software and Hardware,,,,,,,
Services for Faculty and Staff,Others,all,,,https://www.ehs.washington.edu/,Environmental Health & Safety,https://www.uwb.edu/facility/ehs,Environmental Health & Safety,http://www.tacoma.uw.edu/node/38910,Environmental Health & Safety,no
Services for Faculty and Staff,Others,all,,,https://facilities.uw.edu/,UW Facilities,https://www.uwb.edu/facility,Facilities and Campus Operations,http://www.tacoma.uw.edu/facilities-services/facilities-services,Facilities Services,no
Services for Faculty and Staff,Others,all,,,https://facilities.uw.edu/services/requests,UW Facilities: Request Service,http://dlweb.megamation.com/uwb/DLWEB.php/O4W_INFO_PAGE,Facilities Maintenance Request,http://www.tacoma.uw.edu/facilities-services/work-order-request,Facilities Services: Work Order Request,no
Campus Life,Campus Retail,all,,,http://www.bookstore.washington.edu/student_faculty/student_faculty.taf?verba=uwseattle,University Book Store,http://www.bookstore.washington.edu/student_faculty/student_faculty.taf?verba=uwbothell,University Book Store,http://www.bookstore.washington.edu/student_faculty/student_faculty.taf?verba=uwtacoma,University Book Store,no
Campus Life,Campus Safety,all,,,,,,,http://www.tacoma.uw.edu/campus-safety/,Campus Safety & Security,no
Campus Life,Campus Safety,all,,,http://www.washington.edu/safecampus/,SafeCampus,http://www.washington.edu/safecampus/uwb/,SafeCampus,http://www.washington.edu/safecampus/uwt/,SafeCampus,no
Campus Life,Campus Safety,all,,,https://www.ehs.washington.edu/,Environmental Health & Safety,https://www.uwb.edu/facility/ehs,Environmental Health & Safety,http://www.tacoma.uw.edu/node/38910,Environmental Health & Safety,no
Campus Life,Campus Safety,all,https://cspc.admin.uw.edu/mychem,MyChem,,,,,,,no
Campus Life,Campus Safety,all,,,https://www.washington.edu/uwem/,UW Emergency Management,https://www.uwb.edu/emergency,UW Bothell Emergency Page,http://www.tacoma.uw.edu/campus-safety/emergency-response,UW Tacoma Emergency Response,no
Campus Life,Getting Around Campus,all,,,http://www.washington.edu/maps/,Campus Map,http://www.uwb.edu/visitors/uw-bothell-map.pdf,Campus Map,http://www.tacoma.uw.edu/campus-map/campus-map,Campus Map,no
Campus Life,Getting Around Campus,all,,,https://facilities.uw.edu/transportation/park-directions,Getting to Seattle Campus,http://www.uwb.edu/visitors/directions,Getting to UW Bothell Campus,http://www.tacoma.uw.edu/getting-campus/getting-campus,Getting to UW Tacoma Campus,no
Campus Life,Getting Around Campus,all,,,https://facilities.uw.edu/transportation/student-u-pass,U-PASS for Students,https://www.uwb.edu/administration-planning/facilities/transportation/upass,U-PASS,http://www.tacoma.uw.edu/getting-campus/what-u-pass,U-PASS,no
Campus Life,Getting Around Campus,all,,,https://facilities.uw.edu/transportation/employee-u-pass,U-PASS for Employees,,,,,no
Campus Life,Getting Around Campus,all,,,https://facilities.uw.edu/transportation/,Transportation Services,https://www.uwb.edu/administration-planning/facilities/transportation,Commuter Services,http://www.tacoma.uw.edu/node/39836,Transportation Services,no
