Collegiana (COL),http://www.washington.edu/maps/?COL,"47.660154286179,-122.31574535582"
Columns and Sylvan Theater (LNDMK-4),http://www.washington.edu/maps/?LNDMK-4,"47.652845634837,-122.30630311905"
Commodore-Duchess Apartments (CDA),http://www.washington.edu/maps/?CDA,"47.65561,-122.312445"
Communications Building (CMU),http://www.washington.edu/maps/?CMU,"47.656967773402,-122.30546437302"
Community Design Center (SGS),http://www.washington.edu/maps/?SGS,"47.655213958491,-122.31357774078"
Condon Hall (CDH),http://www.washington.edu/maps/?CDH,"47.656599320055,-122.31607327116"
Conibear Shellhouse (CSH),http://www.washington.edu/maps/?CSH,"47.652880318511,-122.29978618651"
Corbet Building (CRB),http://www.washington.edu/maps/?CRB,"47.661476,-122.313453"
Corporation Yard Buildings (CYB),http://www.washington.edu/maps/?CYB,"47.659006526532,-122.29332264285"
Cunningham Hall (ICH),http://www.washington.edu/maps/?ICH,"47.657215,-122.31108054233"
Dempsey Hall (DEM),http://www.washington.edu/maps/?DEM,"47.659111431544,-122.30770370766"
Denny Hall (DEN),http://www.washington.edu/maps/?DEN,"47.658379641598,-122.30886654233"
Douglas Research Conservatory (DRC),http://www.washington.edu/maps/?DRC,"47.657617564076,-122.28911349207"
Drumheller Fountain (LNDMK-0),http://www.washington.edu/maps/?LNDMK-0,"47.653839033791,-122.30779758035"
Eagleson Hall (EGL),http://www.washington.edu/maps/?EGL,"47.657967679386,-122.31237991534"
Edmundson Pavilion (EDP),http://www.washington.edu/maps/?EDP,"47.6520376363,-122.302229492"
Elisabeth C. Miller Library (EMLB),http://www.washington.edu/maps/?EMLB,"47.658074705561,-122.29071736336"
Engineering Annex (EGA),http://www.washington.edu/maps/?EGA,"47.653754632824,-122.30436191534"
Engineering Library (ELB),http://www.washington.edu/maps/?ELB,"47.654608865386,-122.30454291534"
Environmental Safety Office Building (ESO),http://www.washington.edu/maps/?ESO,"47.658827196221,-122.29404053493"
Environmental Safety Storage Building (ESB),http://www.washington.edu/maps/?ESB,"47.659575190129,-122.29329466138"
Facilities Services Administration Building (PPO),http://www.washington.edu/maps/?PPO,"47.655062159707,-122.30428710185"
Fisheries Teaching And Research Building (FTR),http://www.washington.edu/maps/?FTR,"47.652551,-122.31557"
Fishery Sciences (FSH),http://www.washington.edu/maps/?FSH,"47.653242271194,-122.316242"
Floyd and Delores Jones Playhouse Theater (PHT),http://www.washington.edu/maps/?PHT,"47.656649,-122.313612"
Fluke Hall (FLK),http://www.washington.edu/maps/?FLK,"47.655795092964,-122.30330883069"
Gatehouse 1 - NE 41st St (GH1),http://www.washington.edu/maps/?GH1,"47.656809803598,-122.31155267759"
Gatehouse 2 - Memorial Way (GH2),http://www.washington.edu/maps/?GH2,"47.660236,-122.309637"
Gatehouse 3 - Pend Oreille (GH3),http://www.washington.edu/maps/?GH3,"47.658401,-122.302604"
Gatehouse 5 - Ne 40Th (GH5),http://www.washington.edu/maps/?GH5,"47.655311,-122.311603"
Gatehouse 6 - 15th Ne (GH6),http://www.washington.edu/maps/?GH6,"47.65071,-122.311617"
Gatehouse 7 - Columbia Road (GH7),http://www.washington.edu/maps/?GH7,"47.648522,-122.306594"
Gatehouse 8 - Stadium Parking (GH8),http://www.washington.edu/maps/?GH8,"47.650283,-122.303853"
George Washington Statue (LNDMK-5),http://www.washington.edu/maps/?LNDMK-5,"47.65612,-122.311091"
Gerberding Hall (GRB),http://www.washington.edu/maps/?GRB,"47.65534,-122.309429"
Golf Driving Range Building (GDR),http://www.washington.edu/maps/?GDR,"47.658827885213,-122.29725239021"
Gould Hall (GLD),http://www.washington.edu/maps/?GLD,"47.654943,-122.31271"
Gowen Hall (GWN),http://www.washington.edu/maps/?GWN,"47.656372,-122.307748"
Graves Annex Building (GAB),http://www.washington.edu/maps/?GAB,"47.65234145448,-122.30101164418"
"Graves Hall, 3910 Montlake Blvd Ne (TGB)",http://www.washington.edu/maps/?TGB,"47.65305,-122.302276"
Guggenheim Annex (GUA),http://www.washington.edu/maps/?GUA,"47.654593,-122.306423"
Guggenheim Hall (GUG),http://www.washington.edu/maps/?GUG,"47.65427,-122.306322"
Guthrie Annex 1 (GA1),http://www.washington.edu/maps/?GA1,"47.654057,-122.311785"
Guthrie Annex 2 (GA2),http://www.washington.edu/maps/?GA2,"47.654404,-122.311718"
Guthrie Annex 3 (GA3),http://www.washington.edu/maps/?GA3,"47.654897,-122.311792"
Guthrie Annex 4 (GA4),http://www.washington.edu/maps/?GA4,"47.654893,-122.311039"
Guthrie Hall (GTH),http://www.washington.edu/maps/?GTH,"47.653967,-122.310901"
Haggett Hall (HGT),http://www.washington.edu/maps/?HGT,"47.659252094878,-122.30370706746"
Hansee Hall (HNS),http://www.washington.edu/maps/?HNS,"47.660776,-122.306512"
Harris Hydraulics Laboratory (HHL),http://www.washington.edu/maps/?HHL,"47.649984,-122.311461"
Health Sciences Annex 4 (HS4),http://www.washington.edu/maps/?HS4,"47.651838,-122.310734"
Henderson Hall (HND),http://www.washington.edu/maps/?HND,"47.65517,-122.316929"
Henry Art Gallery and Allen Center for The Visual Arts (HAG),http://www.washington.edu/maps/?HAG,"47.656519120208,-122.31169618651"
Hitchcock Hall (HCK),http://www.washington.edu/maps/?HCK,"47.6519126819,-122.31152108466"
Hughes Penthouse Theatre (HPT),http://www.washington.edu/maps/?HPT,"47.660711,-122.308105"
Husky Stadium (STD),http://www.washington.edu/maps/?STD,"47.6503979101,-122.301971661"
Hutchinson Hall (HUT),http://www.washington.edu/maps/?HUT,"47.659518737593,-122.30663772884"
Indoor Practice Facility (Dempsey Indoor Center) (IPF),http://www.washington.edu/maps/?IPF,"47.651535136766,-122.29931327116"
Institute on Human Development and Disability South Building (IHDD),http://www.washington.edu/maps/?IHDD,"47.648169683454,-122.30753845767"
Instructional Center/Theater (ICT),http://www.washington.edu/maps/?ICT,"47.656939933497,-122.31485162698"
Intramural Activities Building (IMA),http://www.washington.edu/maps/?IMA,"47.653590648,-122.301178066"
Isaacson Hall (ISA),http://www.washington.edu/maps/?ISA,"47.657822961717,-122.29007766138"
John M. Wallace Hall (ACC),http://www.washington.edu/maps/?ACC,"47.653046362867,-122.31482989815"
Johnson Annex A (JHA),http://www.washington.edu/maps/?JHA,"47.654175,-122.309659"
Johnson Hall (JHN),http://www.washington.edu/maps/?JHN,"47.654588546146,-122.30887827116"
Kane Hall (KNE),http://www.washington.edu/maps/?KNE,"47.6565514399,-122.309198619"
Kincaid Hall (KIN),http://www.washington.edu/maps/?KIN,"47.652655,-122.310597"
