Category,Subcategory,affiliation,Central (not campus specific),Central Title,Seattle,Seattle (link text),Bothell (destination URL),Bothell (link text),Tacoma,Tacoma Title,Open in a new tab?
Services for Faculty and Staff,Procurement,,f2.washington.edu/fm/ps/how-to-buy/ariba,ARIBA,,,,,,,
Services for Faculty and Staff,Procurement,,f2.washington.edu/fm/ps,Procurement Services,,,https://www.uwb.edu/finance/purchasing,Purchasing,http://www.tacoma.uw.edu/node/40039,Procurement Services,
Services for Faculty and Staff,Research,,lib.washington.edu/types,Start Your Research,,,,,http://www.tacoma.uw.edu/library/start-your-research,Start Your Research,
Services for Faculty and Staff,Research,,sage.washington.edu,SAGE,,,,,,,
Services for Faculty and Staff,Others,,registrar.washington.edu/staffandfaculty/electronic-academic-records-system-ears,Electronic Advising Records System (EARS),,,,,,,
Services for Faculty and Staff,Others,,washington.edu/itconnect,IT Connect,,,https://www.uwb.edu/it,Information Technologies,http://www.tacoma.uw.edu/information-technology/information-technology,Information Technology,
Services for Faculty and Staff,Others,,https://facilities.uw.edu/,Facilities Services,,,https://www.uwb.edu/facility,Facilities and Campus Operations,http://www.tacoma.uw.edu/facilities-services/facilities-services,Facilities Services,
Services for Faculty and Staff,Others,,https://facilities.uw.edu/services,Facilities Services: Request Service,,,http://dlweb.megamation.com/uwb/DLWEB.php/O4W_INFO_PAGE,Facilities Maintenance Request,http://www.tacoma.uw.edu/facilities-services/work-order-request,Facilities Services: Work Order Request,
Campus Life,Campus Retail,all,http://www.bookstore.washington.edu/student_faculty/student_faculty.taf?verba=uwseattle,University Book Store,,,http://www.bookstore.washington.edu/student_faculty/student_faculty.taf?verba=uwbothell,University Book Store,http://www.bookstore.washington.edu/student_faculty/student_faculty.taf?verba=uwtacoma,University Book Store,no
Campus Life,Campus Safety,all,http://www.washington.edu/safecampus/,SafeCampus,,,http://www.washington.edu/safecampus/uwb/,SafeCampus,http://www.washington.edu/safecampus/uwt/,SafeCampus,no
Campus Life,Campus Safety,,ehs.washington.edu/,Environmental Health & Safety,,,https://www.uwb.edu/facility/ehs,Environmental Health & Safety,http://www.tacoma.uw.edu/node/38910,Environmental Health & Safety,
Campus Life,Campus Safety,all,https://cspc.admin.uw.edu/mychem,MyChem,,,,,,,
Campus Life,Campus Safety,,https://www.washington.edu/uwem/,UW Emergency Management,,,https://www.uwb.edu/emergency,UW Bothell Emergency Page,http://www.tacoma.uw.edu/campus-safety/emergency-response,UW Tacoma Emergency Response,
Campus Life,Getting Around Campus,all,http://www.washington.edu/maps/,Campus Map,,,http://www.uwb.edu/visitors/uw-bothell-map.pdf,Campus Map,http://www.tacoma.uw.edu/campus-map/campus-map,Campus Map,no
Campus Life,Getting Around Campus,all,https://facilities.uw.edu/transportation/park-directions,Getting to Seattle Campus,,,http://www.uwb.edu/visitors/directions,Getting to Bothell Campus,http://www.tacoma.uw.edu/getting-campus/getting-campus,Getting to Tacoma Campus,no
Campus Life,Getting Around Campus,all,,,https://facilities.uw.edu/transportation/student-u-pass,U-PASS for Students,https://www.uwb.edu/administration-planning/facilities/transportation/upass,U-PASS,http://www.tacoma.uw.edu/getting-campus/what-u-pass,U-PASS,
Campus Life,Getting Around Campus,employees,,,https://facilities.uw.edu/transportation/employee-u-pass,U-PASS for Employees,,,,,
Campus Life,Getting Around Campus,,https://facilities.uw.edu/transportation/,Transportation Services,,,https://www.uwb.edu/administration-planning/facilities/transportation,Commuter Services,http://www.tacoma.uw.edu/node/39836,Transportation Services,
Campus Life,Getting Around Campus,,,,http://uwshuttles.com/,UW Shuttles,,,,,
Campus Life,Health & Wellness,all,http://www.washington.edu/counseling/,Counseling Center,,,http://www.uwb.edu/studentservices/counseling,Counseling Services,http://www.tacoma.uw.edu/node/44255,Student Counseling Center,no
Campus Life,Health & Wellness,all,http://depts.washington.edu/hhpccweb/,Hall Health Center,,,http://www.uwb.edu/recwell/health-promotion,Health Promotion,http://www.tacoma.uw.edu/student-health-services/about-student-health-services,Student Health Services (SHS),no
Campus Life,Health & Wellness,all,http://www.washington.edu/ima/,Recreational Sports Programs (IMA),,,http://www.uwb.edu/recwell,Recreation and Wellness,http://www.tacoma.uw.edu/uwy/fitness,Recreation & Fitness,no
Campus Life,Housing & Dining,all,https://www.hfs.washington.edu/olco/Secure/AccountSummary.aspx,Add Funds to Husky Card,,,,,,,yes
Campus Life,Housing & Dining,all,https://www.hfs.washington.edu/dining/,Campus Dining,,,http://www.uwb.edu/food,Campus Dining,http://www.tacoma.uw.edu/food-services/locations,Campus Dining,no
Campus Life,Housing & Dining,all,https://www.hfs.washington.edu/myhfs/ledger.aspx,Check HFS Balance,,,,,,,yes
Campus Life,Housing & Dining,all,https://www.hfs.washington.edu/housing/,Student Housing,,,http://www.uwb.edu/housing,Student Housing,http://www.tacoma.uw.edu/housing,Housing,no
Campus Life,Housing & Dining,all,https://facilities.uw.edu/,Facilities Services,,,https://www.uwb.edu/facility,Facilities and Campus Operations,http://www.tacoma.uw.edu/facilities-services/facilities-services,Facilities Services,
Campus Life,Housing & Dining,,https://facilities.uw.edu/services,Facilities Services: Request Service,,,http://dlweb.megamation.com/uwb/DLWEB.php/O4W_INFO_PAGE,Facilities Maintenance Request,http://www.tacoma.uw.edu/facilities-services/work-order-request,Facilities Services: Work Order Request,
Campus Life,Husky Experience,fyp,/thrive_messages,Thrive Messages,,,,,,,no
Campus Life,Rules & Regulations,all,http://www.washington.edu/students/reg/ferpa.html,Family Educational Rights and Privacy Act (FERPA) - Privacy of Student Information,,,,,,,no
Campus Life,Rules & Regulations,all,https://ap.washington.edu/ormp/,Office of Research Misconduct Proceedings,,,http://www.uwb.edu/academic/policies/academicconduct/student-guide,Student Guide to Academic Integrity,,,no
Campus Life,Rules & Regulations,all,http://www.washington.edu/cssc/student-conduct-overview/student-code-of-conduct/,Student Conduct Code,,,http://www.uwb.edu/studentservices/studentconduct,Student Conduct and Responsibility,http://www.tacoma.uw.edu/catalog-two/student-rights-responsibilities,Student Rights and Responsibilities,no
Campus Life,Support Services,grad,http://grad.uw.edu/for-students-and-post-docs/core-programs/,Graduate School Core Programs,,,,,,,no
Campus Life,Support Services,all,http://www.washington.edu/admin/dso/uw-resources.html,Disability Resources,,,http://www.bothell.washington.edu/studentservices/drs,Disability Resources for Students (DRS),http://www.tacoma.uw.edu/drsuwt,Disability Resources for Students,no
Campus Life,Support Services,all,http://www.washington.edu/omad/,Diversity Resources,,,http://www.uwb.edu/diversity,Diversity Resources,http://www.tacoma.uw.edu/diversity,Diversity Resources,no
Campus Life,Support Services,grad,http://grad.uw.edu/diversity/go-map/,Graduate Opportunities & Minority Achievement Program (GO-MAP),,,,,,,no
Campus Life,Support Services,all,http://depts.washington.edu/qcenter/wordpress/,Q Center,,,,,,,no
Campus Life,Support Services,all,http://depts.washington.edu/womenctr/,Women's Center,,,,,,,no
Campus Life,Support Services,all,,,,,,,http://www.tacoma.uw.edu/campus-safety/,Campus Safety,no
Campus Life,Support Services,all,http://www.washington.edu/sexualassault/,Sexual Assault Resources,,,,,,,no
Campus Life,Support Services,all,http://depts.washington.edu/slsuw/,Student Legal Services,,,,,,,no
Employment,,all,http://careers.washington.edu/,Career Center,,,http://www.bothell.washington.edu/careers,Career Services,http://www.tacoma.uw.edu/career-development/career-development-education,Career Development,no
Employment,,all,https://wd5.myworkday.com/uw/d/home.htmld,Workday,,,,,,,yes
Employment,,all,https://prp.admin.uw.edu/legacyess,Legacy ESS,,,,,,,yes
Employment,,all,https://careers.uw.edu/jobs/,Career and Internship Center,,,,,,,yes
Employment,,all,http://www.lib.washington.edu/about/employment/students,Student Employment in the Libraries,,,,,,,no
Employment,,all,http://www.huskyjobs.washington.edu/students,Husky Jobs,,,,,,,no
Employment,,,isc.uw.edu,Integrated Service Center (ISC),,,,,,,
Employment,,,http://hr.uw.edu/jobs/,Employment at UW,,,,,,,
Events & Activities,Events,all,http://www.washington.edu/calendar/,Campus Event Calendar,,,https://www.uwb.edu/calendar,Campus Event Calendar,http://www.tacoma.uw.edu/calendar/calendar,Campus Event Calendar,no
Events & Activities,Events,all,http://depts.washington.edu/thehub/hub-events/event-calendars/,HUB Events,,,http://www.bothell.washington.edu/sea/events,Student Engagement & Activities Events,,,no
Events & Activities,Stay Connected,all,http://www.washington.edu/news/,Campus News,,,http://www.uwb.edu/news,Campus News,http://www.tacoma.uw.edu/news/news-information,Campus News,no
