Category,Subcategory,affiliation,Central (not campus specific),Central Title,Seattle,Seattle (link text),Bothell (destination URL),Bothell (link text),Tacoma,Tacoma Title,Open in a new tab?
Student & Campus Life,Health & Wellness,all,,,https://www.washington.edu/ship/affordable-care/,Student Health Insurance,http://www.uwb.edu/studentservices/insurance,Student Health Insurance,http://www.tacoma.uw.edu/ses/health/insurance,Student Health Insurance,no
Student & Campus Life,Support Services,grad,http://grad.uw.edu/for-students-and-post-docs/core-programs/,Graduate School Core Programs,,,,,,,no
Student & Campus Life,Support Services,all,,,http://www.washington.edu/admin/dso/uw-resources.html,Disability Resources,http://www.bothell.washington.edu/studentservices/drs,Disability Resources for Students (DRS),http://www.tacoma.uw.edu/drsuwt,Disability Support Services (DSS),no
Student & Campus Life,Support Services,all,,,http://www.washington.edu/omad/,Diversity Resources,http://www.uwb.edu/diversity,Diversity Resources,http://www.tacoma.uw.edu/diversity,Diversity Resources,no
Student & Campus Life,Support Services,grad,http://grad.uw.edu/diversity/go-map/,Graduate Opportunities & Minority Achievement Program (GO-MAP),,,,,,,no
Student & Campus Life,Support Services,all,http://depts.washington.edu/qcenter/wordpress/,Q Center,,,,,,,no
Student & Campus Life,Support Services,all,http://depts.washington.edu/womenctr/,Women's Center,,,,,,,no
Student & Campus Life,Support Services,all,,,http://www.washington.edu/safecampus/,SafeCampus,http://www.washington.edu/safecampus/uwb/,SafeCampus,http://www.washington.edu/safecampus/uwt/,SafeCampus,no
Student & Campus Life,Support Services,all,http://www.washington.edu/sexualassault/,Sexual Assault Resources,,,,,,,no
Student & Campus Life,Support Services,all,,,http://depts.washington.edu/slsuw/,Student Legal Services,,,,,no
Student & Campus Life,,all,,,http://hub.washington.edu/,HUB,http://www.uwb.edu/studentservices/ssc,Student Success Center,https://www.tacoma.uw.edu/uwy/dhsl,Dawg House Student Lounge,no
Student & Campus Life,Campus Retail,all,,,http://www.bookstore.washington.edu/student_faculty/student_faculty.taf?verba=uwseattle,University Book Store,http://www.bookstore.washington.edu/student_faculty/student_faculty.taf?verba=uwbothell,University Book Store,http://www.bookstore.washington.edu/student_faculty/student_faculty.taf?verba=uwtacoma,University Book Store,no
Student & Campus Life,Transportation,all,,,http://www.washington.edu/admin/ada/newada.php,Accessibility Guide,,,http://www.tacoma.washington.edu/studentaffairs/SHW/dss_access.cfm,Accessibility Guide,no
Student & Campus Life,Transportation,all,,,http://www.washington.edu/maps/,Campus Map,http://www.uwb.edu/visitors/uw-bothell-map.pdf,Campus Map,http://www.tacoma.uw.edu/campus-map/campus-map,Campus Map,no
Student & Campus Life,Transportation,all,,,http://www.washington.edu/facilities/transportation/commuterservices/,Getting to Seattle Campus,https://www.uwb.edu/admin/transportation,Getting to Bothell Campus,http://www.tacoma.uw.edu/getting-campus/getting-campus,Getting to Tacoma Campus,no
Student & Campus Life,Directory,all,,,http://www.washington.edu/home/peopledir/,UW Directory,http://www.uwb.edu/directory,Bothell Faculty and Staff Directory,http://www.washington.edu/home/peopledir/,UW Directory,no
Student & Campus Life,Rules & Regulations,all,http://www.washington.edu/students/reg/ferpa.html,Family Educational Rights and Privacy Act (FERPA) - Privacy of Student Information,,,,,,,no
Student & Campus Life,Rules & Regulations,all,,,https://ap.washington.edu/osi/,Office of Scholarly Integrity (OSI),http://www.uwb.edu/academic/policies/academicconduct/student-guide,Student Guide to Academic Integrity,,,no
Student & Campus Life,Rules & Regulations,all,,,http://www.washington.edu/cssc/student-conduct-overview/student-code-of-conduct/,Student Conduct Code,http://www.uwb.edu/studentservices/studentconduct,Student Conduct and Responsibility,http://www.tacoma.uw.edu/catalog-two/student-rights-responsibilities,Student Rights and Responsibilities,no
Tools & Software,Teaching & Learning Tools,all,http://canvas.uw.edu/,Canvas LMS,,,,,,,yes
Tools & Software,Teaching & Learning Tools,all,https://catalyst.uw.edu/,Catalyst Web Tools,,,,,,,yes
Tools & Software,Teaching & Learning Tools,all,https://notify.uw.edu/,Notify.UW,,,,,,,yes
Tools & Software,Teaching & Learning Tools,all,,,http://scout.uw.edu/seattle,Scout: Discover the UW,http://scout.uw.edu/bothell,Scout: Discover the UW,http://scout.uw.edu/tacoma,Scout: Discover the UW,no
Tools & Software,Teaching & Learning Tools,all,http://www.washington.edu/itconnect/wares/uware/tableau-software/,Tableau Data Analysis Software,,,,,,,no
Tools & Software,Teaching & Learning Tools,all,https://panopto.uw.edu/,Panopto,,,,,,,yes
Tools & Software,Email & UW NetID,all,https://mail.google.com/a/uw.edu,Gmail,,,,,,,yes
Tools & Software,Email & UW NetID,all,http://alpine.washington.edu/,Alpine Mail,,,,,,,yes
Tools & Software,Email & UW NetID,all,https://uwnetid.washington.edu/manage/?forward,Email Forwarding,,,,,,,yes
Tools & Software,Email & UW NetID,all,https://uwnetid.washington.edu/manage/,Manage UW NetID Account,,,,,,,yes
Tools & Software,Directory,all,,,http://www.washington.edu/home/directories.html,UW Directory,http://www.uwb.edu/directory,Bothell Faculty and Staff Directory,http://www.washington.edu/home/directories.html,UW Directory,no
Events & Activities,Events,all,,,http://www.washington.edu/calendar/,Campus Event Calendar,https://www.uwb.edu/calendar,Campus Event Calendar,http://www.tacoma.uw.edu/calendar/calendar,Campus Event Calendar,no
Events & Activities,Events,all,,,http://depts.washington.edu/thehub/hub-events/today-in-the-hub/,HUB Events,http://www.bothell.washington.edu/sea/events,Student Engagement & Activities Events,,,no
Events & Activities,Student Clubs & Organizations,all,,,https://uws-community.symplicity.com/index.php?au=&ck=,Registered Student Organizations (RSO) Directory,http://www.bothell.washington.edu/sea/clubs/join,Club Directory,https://dawgden.tacoma.uw.edu/Organizations,UW Tacoma Clubs & Organizations,no
